"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","-","70.00","-","-","-","-","-","-","-","-"
"12","CLOTHING","Jersi","Meter ","54.66","48.98","60.00","45.50","50.50","59.33","50.99","-","-","-"
"13","CLOTHING","Cotton","Kg ","-","34.32","35.00","27.50","-","-","26.65","24.00","28.98","19.49"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","82.46","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-","-","-","-","130.00","123.24"
"16","CLOTHING","Kashemire","Meter ","55.00","48.63","-","-","-","-","-","60.00","70.00","-"
"17","CLOTHING","Deriya","Meter ","-","-","-","30.00","-","-","-","-","-","-"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","482.74","500.00","400.00","681.76","-","-","529.15","-","616.22","-"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","150.00","182.97","239.57","315.82","218.24","200.00","300.00","-","350.00","250.00"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","-","100.00","150.00","150.00","114.93","144.91","223.61","-","282.31","200.00"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","166.60","166.23","156.59","189.82","119.93","122.47","153.26","131.65","-","-"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","333.10","324.04","313.19","322.69","264.97","228.94","306.52","241.59","206.46","262.77"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","-","-","-","-","-","-","-","-","-","140.00"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","206.46","186.43","214.96","194.96","172.48","-","169.80","221.65","239.57","193.10"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","-","153.26","143.01","173.27","157.48","-","146.59","168.22","206.46","191.29"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","16.00","18.64","17.33","21.63","19.66","17.66","22.57","20.00","21.54","20.00"
