"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","71.63","67.45","70.00","70.00","63.29","77.46","65.73","70.00","72.46","61.62","68.29","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","71.63","66.63","70.00","70.00","63.29","76.63","65.73","70.00","71.63","61.62","68.29","-"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","43.27","45.00","45.00","40.00","40.00","49.32","40.00","41.32","45.00","41.60","45.00","45.00"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","-","42.99","35.00","45.00","50.25","34.99","-","40.82","-","39.70","-","27.00"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","13.33","13.98","-","-","11.00","12.00","13.66","14.00","12.32","12.32","12.00","12.96"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","11.97","12.63","11.49","15.00","11.66","12.00","13.66","15.00","12.32","11.66","12.00","12.00"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","12.32","12.63","11.66","17.00","11.66","12.00","13.66","10.00","12.32","12.32","11.32","12.00"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","6.17","-","4.32","4.44","4.94","4.94","6.00","3.88","-","3.81","6.56","3.13"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","11.11","8.60","9.26","10.19","9.26","9.26","9.26","11.11","8.63","10.46","9.26","7.41"
"16","CIGARETTES","Nyala","Packet ","10.00","10.00","12.00","12.00","12.00","10.00","11.29","11.29","10.00","12.00","10.00","10.00"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","30.00","26.21","30.00","30.00","30.00","30.00","30.00","23.33","32.40","30.00","30.00","30.00"
"19","CIGARETTES","Marlboro","Packet ","-","-","-","-","-","30.00","-","-","35.00","33.25","-","-"
