"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","237.50","-","-","275.00","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","-","-","-","138.94","142.86"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","-","-","-","133.73","-"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","120.00","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","250.00","-","-","236.33","236.62"
"26","CONSTRUCTION MATERIALS","Door made of iron","","874.64","-","-","-","-"
"1","WATER","Water","Meter ","-","25.00","6.00","5.00","2.00"
"2","FUEL AND POWER","Fire Wood","Meter ","-","555.56","211.25","506.00","652.97"
"3","FUEL AND POWER","Charcoal","","4.35","5.75","-","6.59","7.60"
